Cadastro em,Tipo,Empresa,Contato,E-mail,CNPJ/CPF,IE/RG,Ramo,% Desc,Endereço,Bairro,Cidade,Estado,País,CEP,Telefone,FAX,Obs curta,Pagtos,Sexo,Data Nasc,Logradouro,Endereço número,Endereço complemento,Celular
"06/04/2016 18:12:00","PF",,"","teste78@fastcommerce.com.br",,,,0,"",,,,,"",,,,"","",,"",,,
"12/04/2016 10:54:00","PF",,"fastcommerce","teste12@fastcommerce.com.br","11111111111",,"",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1150529339",,,"","M",,"Avenida Rouxinol","1041","",""
"12/04/2016 10:55:00","PF",,"fastcommerce 13","teste13@fastcommerce.com.br","11111111111",,"",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1150529339",,,"","M",,"Avenida Rouxinol","1041","",""
"08/01/2016 12:25:00","PF",,"Fezão Xandi @band Resenheiro","felipe@fastcommerce.com.br",,,,0,"","Interlagos","São Paulo","SP","BRASIL","",,,,"","",,"",,,
"19/06/2015 16:37:00","PF",,"Fulano de Tal","cliente@fastcommerce.com.br","11111111111",,"",0,"AV Rouxinol  1041 1041 ","Moema","São Paulo","SP","Brasil","04516-001","1150529339",,,"","",,"AV Rouxinol  1041","1041","",""
"12/03/2015 13:16:00","PF",,"Mi hui Teste","teste@fastcommerce.com",,,,0,"","Indianópolis","São Paulo","SP","BRASIL","",,,,"","",,"",,,
"08/01/2016 15:06:00","PF",,"oijoijoijoij","ujbikuoinoinoi@fastcommerce.com.br",,,,0,"",,,,,"",,,,"","",,"",,,
"04/12/2015 17:58:00","PF",,"Teste Cadastro","teste_cadastro@fastcommerce.com.br","11111111111",,"",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1155554444",,,"","",,"Avenida Rouxinol","1041","",""
"04/12/2015 18:00:00","PF",,"Teste Cadastro 1","teste_cadastro1@fastcommerce.com.br","11111111111",,"",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1155554444",,,"","",,"Avenida Rouxinol","1041","",""
"04/12/2015 18:05:00","PF",,"Teste Cadastro 2","teste_cadastro2@fastcommerce.com.br","11111111111",,"",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1155554444",,,"","",,"Avenida Rouxinol","1041","",""
"29/09/2015 16:59:00","PF",,"teste fast commerce","teste28@fastcommerce.com.br","11111111111",,"",0,"Avenida Rouxinol 1041 ","Moema","São Paulo","SP","Brasil","04516-000","11-5052-9339",,,"","",,"Avenida Rouxinol","1041","",""
"16/06/2015 11:47:00","PF",,"testre","teste5@fastcommerce.com.br",,,,0,"",,,,,"",,,,"","",,"",,,
"16/06/2015 11:04:00","PF",,"Wagner Y","wagner@fastcommerce.com.br",,,,0,"","Indianópolis","São Paulo","SP","BRASIL","",,,,"","",,"",,,
"29/10/2014 07:05:00","PF","","Ana Silva","airton@iarunicamp.br","14889874402","","",0,"Quadra 5 Conjunto C 12 ","Veredas (Brazlândia)","Brasília","DF","Brasil","72726-103","6132568974","","","","",,"Quadra 5 Conjunto C","12","",""
"04/12/2015 18:35:00","PF","","Hugo Novaes","hugo@fastcommerce.com.br","11111111111","","",0,"Rua Cocal 114 ","Jardim São Joaquim","São Paulo","SP","Brasil","04917-020","1155152249","","","","",,"Rua Cocal","114","",""
"22/08/2014 17:15:00","PF","","teste fast commerce","teste@fastcommerce.com.br","41719665583","","",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1150529339","","","","M",,"Avenida Rouxinol","1041","","11999999999"
"08/01/2016 14:22:00","PJ","çlkjlkjlkjl","","testewyyw@fastcommerce.com.br",,,,0,"","Indianópolis","São Paulo","SP","BRASIL","",,,,"","",,"",,,
"08/01/2016 15:05:00","PJ","çlpopo,po,po,p","","jhgujhvjbkbi@fastcommerce.com.br",,,,0,"","Indianópolis","São Paulo","SP","BRASIL","",,,,"","",,"",,,
"08/01/2016 11:01:00","PJ","Fastcommerce","Suporte","teste3@fastcommerce.com.br","26123324000100","isento","",0,"Avenida Rouxinol 1041 ","Indianópolis","São Paulo","SP","Brasil","04516-001","1150529339","",,"","",,"Avenida Rouxinol","1041","",""
"08/01/2016 14:58:00","PJ","fd","","teste55@fastcommerce.com.br",,,,0,"","Indianópolis","São Paulo","SP","BRASIL","",,,,"","",,"",,,
"08/01/2016 12:22:00","PJ","Vai Corinthians LTDA","","felipe@teste.com.br",,,,0,"","Interlagos","São Paulo","SP","BRASIL","",,,,"","",,"",,,
